Id,SalePrice
1461,123620.5313
1462,164458.0973
1463,186309.1107
1464,199008.976
1465,221806.2655
1466,172436.3841
1467,206456.6722
1468,157246.8628
1469,154130.6097
1470,111348.1511
1471,187026.9379
1472,227280.3242
1473,120962.6096
1474,194236.5494
1475,128848.4119
1476,304830.3156
1477,225178.489
1478,238022.1474
1479,235537.5307
1480,320354.1284
1481,324665.9517
1482,184510.3867
1483,200475.3366
1484,164508.5283
1485,200866.171
1486,286693.7898
1487,293355.6888
1488,285815.8843
1489,186442.9492
1490,199300.3225
1491,182606.7413
1492,119142.9032
1493,218274.8302
1494,273847.5427
1495,341469.187
1496,233948.6628
1497,210526.468
1498,167175.5261
1499,157295.5023
1500,164446.0616
1501,170209.4412
1502,160745.6481
1503,261306.7602
1504,261782.9587
1505,203173.5356
1506,276803.6931
1507,255234.1677
1508,248788.5461
1509,181666.5454
1510,140786.139
1511,115584.0776
1512,168196.003
1513,181858.8039
1514,230680.0101
1515,232694.8064
1516,184869.5662
1517,143983.8718
1518,119609.2049
1519,324682.4109
1520,116343.0531
1521,138207.8144
1522,151325.0017
1523,165199.0076
1524,77830.55351
1525,111118.2327
1526,149128.1396
1527,100698.941
1528,176198.9182
1529,120127.4758
1530,206405.7044
1531,159927.989
1532,111845.2779
1533,121209.0816
1534,148473.3252
1535,160490.3811
1536,111018.5355
1537,52775.80496
1538,194654.5141
1539,261868.3697
1540,128292.2454
1541,145023.5527
1542,147829.785
1543,251829.7868
1544,86849.9614
1545,141434.1127
1546,190459.0431
1547,151752.9648
1548,170587.7008
1549,99305.18184
1550,157662.6788
1551,111415.0433
1552,168810.9153
1553,219278.0724
1554,150922.7418
1555,175731.1162
1556,135272.7799
1557,123657.7023
1558,109211.7361
1559,111338.9839
1560,142380.8007
1561,119688.3576
1562,103509.3556
1563,105271.3397
1564,160830.3415
1565,154401.7423
1566,245640.2747
1567,75221.43284
1568,236835.0105
1569,119245.2951
1570,148991.5509
1571,113636.8827
1572,140719.9058
1573,229247.1228
1574,130531.6552
1575,237377.0982
1576,220005.9467
1577,180892.1668
1578,175925.0925
1579,121094.2692
1580,223573.6693
1581,154581.3086
1582,95114.65303
1583,253333.1956
1584,242724.4867
1585,133982.8483
1586,72818.73758
1587,124087.0107
1588,105257.9693
1589,95234.24525
1590,131549.4509
1591,77060.37901
1592,118931.2834
1593,130035.541
1594,220454.1292
1595,142909.6861
1596,230035.3675
1597,186318.1635
1598,217380.8289
1599,164877.8077
1600,167592.5871
1601,47973.11371
1602,152264.8916
1603,70370.00576
1604,231080.6352
1605,230738.5088
1606,125514.4264
1607,180724.2857
1608,183945.3514
1609,200238.7264
1610,164706.599
1611,161609.073
1612,248519.9104
1613,152227.0944
1614,153953.6961
1615,100034.0208
1616,53576.89335
1617,108328.8148
1618,134440.4131
1619,153795.8823
1620,205040.3205
1621,196894.3983
1622,197936.5279
1623,314962.4828
1624,210199.9956
1625,115618.9707
1626,156096.9786
1627,214832.1625
1628,325522.7246
1629,187193.97
1630,261905.4239
1631,158154.4403
1632,215910.6799
1633,220064.047
1634,192863.7031
1635,201539.0742
1636,146333.8165
1637,206280.9705
1638,227744.5081
1639,337186.1452
1640,281177.5917
1641,174346.3027
1642,220269.0928
1643,237191.1927
1644,223609.0439
1645,203191.4592
1646,180779.234
1647,176930.5737
1648,121931.6793
1649,134975.2634
1650,151724.4892
1651,112586.6614
1652,108004.803
1653,141156.9759
1654,119674.129
1655,149093.2692
1656,129172.4991
1657,259006.9221
1658,134914.6085
1659,91230.03319
1660,208847.89
1661,333846.7091
1662,311114.3784
1663,233053.4063
1664,332936.046
1665,224126.7374
1666,248839.4496
1667,285034.8878
1668,249887.8506
1669,236032.8241
1670,259836.6307
1671,216146.6227
1672,296278.8399
1673,309089.1164
1674,247495.5848
1675,156378.6799
1676,174768.5005
1677,206549.8552
1678,292912.3249
1679,275471.7684
1680,258073.0656
1681,245510.7889
1682,218327.1415
1683,152444.6642
1684,197074.5416
1685,299236.8357
1686,132470.0785
1687,227602.3856
1688,181432.1368
1689,198254.3857
1690,203466.7688
1691,197921.6208
1692,290176.3066
1693,158197.8097
1694,196445.756
1695,176363.2073
1696,240839.343
1697,209456.4107
1698,291286.587
1699,372633.8606
1700,218313.553
1701,297949.6812
1702,214011.3984
1703,202271.5652
1704,190249.356
1705,204283.1603
1706,296141.0125
1707,167352.5464
1708,200987.1071
1709,226391.6757
1710,208471.5209
1711,242623.0722
1712,258608.0148
1713,213007.5092
1714,201741.0065
1715,204832.9433
